iter	RMSE
499	2517.146164
500	2517.14608
501	2517.14593
502	2517.145791
503	2517.145656
504	2517.145511
505	2517.145367
506	2517.145222
507	2517.145094
508	2517.144971
509	2517.144872
510	2517.144769
511	2517.144667
512	2517.144556
513	2517.144451
514	2517.144428
515	2517.144339
516	2517.14424
517	2517.144147
518	2517.144055
519	2517.143992
520	2517.143901
521	2517.143825
522	2517.143739
523	2517.143655
524	2517.143573
525	2517.143488
526	2517.143407
527	2517.143327
528	2517.143258
529	2517.143193
530	2517.143119
531	2517.143059
532	2517.142993
533	2517.142915
534	2517.142855
535	2517.142796
536	2517.142727
537	2517.142668
538	2517.142614
539	2517.142567
540	2517.142514
541	2517.142484
542	2517.142437
543	2517.142382
544	2517.142341
545	2517.142285
546	2517.142244
547	2517.142204
548	2517.142158
549	2517.142111
550	2517.142068
551	2517.142023
552	2517.141987
553	2517.141955
554	2517.141921
555	2517.141889
556	2517.141856
557	2517.141829
558	2517.141793
559	2517.141763
560	2517.141737
561	2517.141709
562	2517.141682
563	2517.141645
564	2517.14161
565	2517.14158
566	2517.141564
567	2517.141537
568	2517.141513
569	2517.141483
570	2517.141456
571	2517.14143
572	2517.141409
573	2517.141387
574	2517.141363
575	2517.141333
576	2517.141316
577	2517.141292
578	2517.14127
579	2517.141249
580	2517.141233
581	2517.141212
582	2517.141192
583	2517.141176
584	2517.141158
585	2517.14114
586	2517.141126
587	2517.14111
588	2517.141094
589	2517.141074
590	2517.141058
591	2517.141045
592	2517.141028
593	2517.141016
594	2517.141004
595	2517.14099
596	2517.140981
597	2517.140968
598	2517.140959
599	2517.140948
600	2517.140935
601	2517.140927
602	2517.140919
603	2517.14091
604	2517.140893
605	2517.14089
606	2517.140882
607	2517.140874
608	2517.140866
609	2517.140855
610	2517.140848
611	2517.140841
612	2517.140829
613	2517.140818
614	2517.140806
615	2517.1408
616	2517.140794
617	2517.140788
618	2517.140782
619	2517.140776
620	2517.140771
621	2517.140765
622	2517.14076
623	2517.140755
624	2517.14075
625	2517.140745
626	2517.140736
627	2517.140731
628	2517.140727
629	2517.140723
630	2517.140715
631	2517.140712
632	2517.140704
633	2517.140701
634	2517.140697
635	2517.140694
636	2517.140691
637	2517.140688
638	2517.140681
639	2517.140679
640	2517.140671
641	2517.140663
642	2517.140661
643	2517.140659
644	2517.140657
645	2517.140654
646	2517.140651
647	2517.140649
648	2517.140646
649	2517.140645
650	2517.140642
651	2517.140636
652	2517.140633
653	2517.140632
654	2517.140626
655	2517.140624
656	2517.140623
657	2517.140621
658	2517.14062
659	2517.140618
660	2517.140616
661	2517.140615
662	2517.140614
663	2517.140612
664	2517.140607
665	2517.140605
666	2517.140604
667	2517.140603
668	2517.140598
669	2517.140597
670	2517.140595
671	2517.14059
672	2517.140586
673	2517.140585
674	2517.140581
675	2517.14058
676	2517.140578
677	2517.140577
678	2517.140576
679	2517.140575
680	2517.140574
681	2517.140573
682	2517.140573
683	2517.140571
684	2517.14057
685	2517.140569
686	2517.140568
687	2517.140568
688	2517.140567
689	2517.140562
690	2517.140562
691	2517.140557
692	2517.140557
693	2517.140554
694	2517.14055
695	2517.140549
696	2517.140548
697	2517.140547
698	2517.140547
699	2517.140546
700	2517.140545
701	2517.140545
702	2517.140544
703	2517.140543
704	2517.14054
705	2517.14054
706	2517.140539
707	2517.140539
708	2517.140538
709	2517.140537
710	2517.140537
711	2517.140534
712	2517.140533
713	2517.140533
714	2517.140533
715	2517.140532
716	2517.140532
717	2517.140532
718	2517.140531
719	2517.140531
720	2517.14053
721	2517.14053
722	2517.14053
723	2517.140529
724	2517.140529
725	2517.140529
726	2517.140529
727	2517.140528
728	2517.140525
729	2517.140525
730	2517.140525
731	2517.140524
732	2517.140524
733	2517.140524
734	2517.140524
735	2517.140523
736	2517.140523
737	2517.140523
738	2517.14052
739	2517.14052
740	2517.14052
741	2517.140519
742	2517.140519
743	2517.140516
744	2517.140516
745	2517.140516
746	2517.140516
747	2517.140513
748	2517.14051
749	2517.140508
750	2517.140508
751	2517.140507
752	2517.140507
753	2517.140507
754	2517.140507
755	2517.140504
756	2517.140504
757	2517.140502
758	2517.140502
759	2517.140502
760	2517.140502
761	2517.140501
762	2517.140501
763	2517.140501
764	2517.140501
765	2517.140501
766	2517.140499
767	2517.140499
768	2517.140499
769	2517.140496
770	2517.140496
771	2517.140496
772	2517.140494
773	2517.140494
774	2517.140491
775	2517.140489
776	2517.140489
777	2517.140489
778	2517.140489
779	2517.140489
780	2517.140487
781	2517.140487
782	2517.140487
783	2517.140487
784	2517.140487
785	2517.140485
786	2517.140483
787	2517.140481
788	2517.140481
789	2517.140481
790	2517.140481
791	2517.14048
792	2517.140479
793	2517.140477
794	2517.140477
795	2517.140475
796	2517.140475
797	2517.140475
798	2517.140475
799	2517.140475
800	2517.140475
801	2517.140475
802	2517.140475
803	2517.140475
804	2517.140475
805	2517.140475
806	2517.140474
807	2517.140474
808	2517.140474
809	2517.140474
810	2517.140473
811	2517.140473
812	2517.140473
813	2517.140472
814	2517.140472
815	2517.140472
816	2517.140471
817	2517.140471
818	2517.140471
819	2517.140471
820	2517.140469
821	2517.140469
822	2517.140469
823	2517.140469
824	2517.140469
825	2517.140467
826	2517.140467
827	2517.140467
828	2517.140467
829	2517.140467
830	2517.140467
831	2517.140466
832	2517.140466
833	2517.140466
834	2517.140466
835	2517.140466
836	2517.140464
837	2517.140464
838	2517.140464
839	2517.140464
840	2517.140464
841	2517.140464
842	2517.140464
843	2517.140464
844	2517.140464
845	2517.140464
846	2517.140464
847	2517.140464
848	2517.140464
849	2517.140464
850	2517.140462
851	2517.140461
852	2517.140461
853	2517.140461
854	2517.140461
855	2517.140461
856	2517.140461
857	2517.140461
858	2517.140461
859	2517.14046
860	2517.14046
861	2517.140458
862	2517.140457
863	2517.140457
864	2517.140457
865	2517.140457
866	2517.140457
867	2517.140457
868	2517.140456
869	2517.140456
870	2517.140456
871	2517.140456
872	2517.140456
873	2517.140456
874	2517.140455
875	2517.140454
876	2517.140454
877	2517.140454
878	2517.140454
879	2517.140454
880	2517.140454
881	2517.140454
882	2517.140454
883	2517.140454
884	2517.140454
885	2517.140454
886	2517.140454
887	2517.140454
888	2517.140454
889	2517.140454
890	2517.140454
891	2517.140454
892	2517.140454
893	2517.140454
894	2517.140452
895	2517.140451
896	2517.140451
897	2517.14045
898	2517.14045
899	2517.14045
900	2517.14045
901	2517.14045
902	2517.140449
903	2517.140448
904	2517.140448
905	2517.140448
906	2517.140448
907	2517.140447
908	2517.140447
909	2517.140447
910	2517.140447
911	2517.140447
912	2517.140447
913	2517.140447
914	2517.140447
915	2517.140447
916	2517.140447
917	2517.140447
918	2517.140447
919	2517.140447
920	2517.140447
921	2517.140447
922	2517.140447
923	2517.140447
924	2517.140447
925	2517.140447
926	2517.140447
927	2517.140447
928	2517.140446
929	2517.140446
930	2517.140446
931	2517.140446
932	2517.140446
933	2517.140446
934	2517.140446
935	2517.140446
936	2517.140445
937	2517.140445
938	2517.140445
939	2517.140445
940	2517.140444
941	2517.140444
942	2517.140443
943	2517.140442
944	2517.140442
945	2517.140442
946	2517.140442
947	2517.140442
948	2517.140442
949	2517.140442
950	2517.140442
951	2517.140442
952	2517.140442
953	2517.140442
954	2517.140442
955	2517.140442
956	2517.140442
957	2517.140442
958	2517.140441
959	2517.140441
960	2517.140441
961	2517.140441
962	2517.140441
963	2517.140441
964	2517.14044
965	2517.14044
966	2517.14044
967	2517.14044
968	2517.14044
969	2517.14044
970	2517.140439
971	2517.140439
972	2517.140439
973	2517.140439
974	2517.140439
975	2517.140439
976	2517.140439
977	2517.140439
978	2517.140439
979	2517.140439
980	2517.140439
981	2517.140439
982	2517.140439
983	2517.140439
984	2517.140438
985	2517.140438
986	2517.140438
987	2517.140438
988	2517.140438
989	2517.140438
990	2517.140438
991	2517.140438
992	2517.140438
993	2517.140438
994	2517.140438
995	2517.140438
996	2517.140438
997	2517.140438
998	2517.140438
999	2517.140438
